route_id,platform,module_tags,total_runs,full_runs,full_failed_runs,full_flaky_runs,log_signal_runs,log_failed_runs,log_flaky_runs,failed_runs,flaky_runs,attempt_failures,pass_rate,last_outcome,last_failed_at,top_error_signature
auth.spec.ts :: Authentication > auth state persists across page navigation,windows,app-shell,112,98,0,0,112,9,5,9,5,14,1.0000,passed,2026-06-28T06:47:46Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > dev auth callback accepts aoedev deep links from the OS protocol event,macos,app-shell,150,147,0,0,150,1,2,1,2,3,1.0000,passed,2026-07-03T10:04:08Z,Error: expect(locator).toBeVisible() failed
auth.spec.ts :: Authentication > dev auth callback accepts aoedev deep links from the OS protocol event,windows,app-shell,111,98,0,1,111,4,10,4,10,14,0.9898,passed,2026-07-03T11:30:33Z,Error: expect(locator).toBeVisible() failed
auth.spec.ts :: Authentication > handles network errors during authentication gracefully,macos,app-shell,182,147,0,0,182,33,2,33,2,35,1.0000,passed,2026-04-23T09:10:40Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > handles network errors during authentication gracefully,windows,app-shell,118,98,0,0,118,10,10,10,10,20,1.0000,passed,2026-06-28T06:47:46Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > handles session expiration inline without popup dialog,macos,app-shell,185,147,0,0,185,34,4,34,4,38,1.0000,passed,2026-04-23T09:10:40Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > handles session expiration inline without popup dialog,windows,app-shell,116,98,0,0,116,8,10,8,10,18,1.0000,passed,2026-04-21T07:59:19Z,Error: openSeededWorkspaceByName: chat-panel not found after click
auth.spec.ts :: Authentication > login button opens desktop sign-in page in the system browser,macos,app-shell;browser,151,147,0,0,151,3,1,3,1,4,1.0000,passed,2026-07-03T09:06:42Z,Error: expect(locator).toBeVisible() failed
auth.spec.ts :: Authentication > login button opens desktop sign-in page in the system browser,windows,app-shell;browser,109,98,0,1,109,2,10,2,10,12,0.9898,passed,2026-07-03T11:21:24Z,Error: expect(locator).toBeVisible() failed
auth.spec.ts :: Authentication > login page hides the global sidebar after logout,macos,app-shell,167,147,0,1,167,15,6,15,6,21,0.9932,passed,2026-07-03T10:04:08Z,Error: expect(locator).toBeVisible() failed
